Protocol,Port,Domain,URL,Resolved,Request Status,Title,Category,Default Creds,Screenshot Path, Source Path
http,80,desarrolloyempleo.cba.gov.ar,http://desarrolloyempleo.cba.gov.ar,18.155.21.14,Successful,"Ministerio de Desarrollo Social y Promoción del Empleo – Sitio Oficial del Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_report\screens\desarrolloyempleo.cba.gov.ar.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_report\source\http.desarrolloyempleo.cba.gov.ar.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar,18.155.21.14,Successful,"Ministerio de Desarrollo Social y Promoción del Empleo – Sitio Oficial del Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_report\screens\desarrolloyempleo.cba.gov.ar.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_report\source\https.desarrolloyempleo.cba.gov.ar.txt
